"Podcast: Globaalsed eestlased" ; 543 ; 35
;;; "Saade 115: Kuulajaküsimused indeksfondidest" ; 3332 ; 120 ; 7 ; 0
;;; "Saade 114: Maksuvaba tulu" ; 3446 ; 132 ; 10 ; 0
;;; "Saade 113: Looduskatastroofid" ; 2335 ; 83 ; 7 ; 0
;;; "Saade 112: Tagasi kooli" ; 2354 ; 87 ; 5 ; 0
;;; "Saade 111: Uudised" ; 2337 ; 74 ; 5 ; 0
;;; "Saade 110: LEI kood" ; 2426 ; 89 ; 7 ; 0
;;; "Saade 109: Vanemahüvitis" ; 2630 ; 89 ; 4 ; 0
"Investeerimisklubi" ; 494 ; 36
;;; "Minu õppetunnid Bitcoini investeerimisel - Taavi Pertman" ; 539 ; 0 ; 2 ; 0
;;; "Millised on võitvad ühisrahastuse strateegiad? - Kristi, Kristjan ja Taavi" ; 554 ; 0 ; 1 ; 0
;;; "Külalispodcast: Äripäeva Raadio - Tõnis-Denis Merkuljevi investeerimise kolm põhiprintsiipi" ; 587 ; 0 ; 2 ; 0
